  12 083 Marion                   Fl        37    .36        72    .35
  09 001 Fairfield                Ct        36    .35        60    .29
  23 003 Aroostook                Me        36    .35        84    .41
  12 127 Volusia                  Fl        35    .34        69    .34
  53 063 Spokane                  Wa        33    .32       101    .50
  08 041 El Paso                  Co        33    .32        92    .45
  25 001 Barnstable               Ma        32    .31        60    .29
  12 091 Okaloosa                 Fl        32    .31        98    .48
  44 007 Providence               RI        31    .30        47    .23
  51 059 Fairfax                  Va        31    .30        78    .38
  36 019 Clinton                  NY        30    .29        87    .43
  04 019 Pima                     Az        30    .29        66    .32
  12 115 Sarasota                 Fl        29    .28        56    .27
  25 005 Bristol                  Ma        29    .28        56    .27
  06 067 Sacramento               Ca        28    .27        66    .32
  50 007 Chittenden               Vt        28    .27        43    .21
  17 031 Cook                     Il        27    .26        46    .23
  51 650 Hampton city             Va        27    .26        74    .36
  12 005 Bay                      Fl        26    .25        69    .34
  33 007 Coos                     NH        26    .25        53    .26
  53 053 Pierce                   Wa        25    .24        81    .40
  36 061 New York                 NY        25    .24        26    .13
  48 453 Travis                   Tx        23    .22        64    .31
  20 173 Sedgwick                 Ks        22    .21        66    .32
  06 095 Solano                   Ca        22    .21        57    .28
  37 183 Wake                     NC        22    .21        53    .26
  23 019 Penobscot                Me        21    .20        47    .23
  37 191 Wayne                    NC        21    .20        55    .27
  12 021 Collier                  Fl        21    .20        52    .26
  48 441 Taylor                   Tx        21    .20        62    .30
  22 015 Bossier                  La        21    .20        66    .32
  15 003 Honolulu                 Hi        21    .20        44    .22
  36 067 Onondaga                 NY        20    .19        50    .25
  26 069 Iosco                    Mi        20    .19        71    .35
  23 001 Androscoggin             Me        20    .19        45    .22
  33 019 Sullivan                 NH        20    .19        33    .16
  48 201 Harris                   Tx        20    .19        38    .19
  12 101 Pasco                    Fl        20    .19        50    .25
  48 029 Bexar                    Tx        20    .19        56    .27
  44 003 Kent                     RI        20    .19        37    .18
  45 085 Sumter                   SC        20    .19        70    .34
  06 029 Kern                     Ca        19    .18        37    .18
  39 049 Franklin                 Oh        19    .18        41    .20
  12 015 Charlotte                Fl        19    .18        31    .15
  35 035 Otero                    NM        19    .18        45    .22
  34 027 Morris                   NJ        19    .18        46    .23
  06 075 San Francisco            Ca        19    .18        19    .09
  38 035 Grand Forks              ND        18    .17        64    .31
  23 011 Kennebec                 Me        18    .17        36    .18
  09 009 New Haven                Ct        18    .17        37    .18
  37 051 Cumberland               NC        18    .17        47    .23
  23 009 Hancock                  Me        18    .17        36    .18
  06 083 Santa Barbara            Ca        18    .17        41    .20
  40 109 Oklahoma                 Ok        18    .17        50    .25
