06 001   Alameda Total Migration  Ca     38713            71678
  36 029 Erie                     NY        14    .06        32    .08
  06 015 Del Norte                Ca        14    .06        38    .09
  51 013 Arlington                Va        14    .06        18    .04
  35 049 Santa Fe                 NM        14    .06        23    .05
  41 011 Coos                     Or        14    .06        26    .06
  06 105 Trinity                  Ca        14    .06        35    .08
  04 005 Coconino                 Az        14    .06        23    .05
  34 003 Bergen                   NJ        14    .06        35    .08
  08 069 Larimer                  Co        14    .06        26    .06
  25 025 Suffolk                  Ma        13    .06        14    .03
  55 079 Milwaukee                Wi        13    .06        16    .04
  27 037 Dakota                   Mn        13    .06        28    .07
  41 019 Douglas                  Or        13    .06        26    .06
  41 035 Klamath                  Or        13    .06        29    .07
  10 003 New Castle               De        13    .06        26    .06
  16 055 Kootenai                 Id        13    .06        29    .07
  24 003 Anne Arundel             Md        13    .06        26    .06
  25 009 Essex                    Ma        13    .06        30    .07
  24 033 Prince George's          Md        12    .05        23    .05
  48 039 Brazoria                 Tx        12    .05        22    .05
  31 055 Douglas                  Ne        12    .05        18    .04
