06 001   Alameda Total Migration  Ca     35997            61078
  48 141 El Paso                  Tx        21    .09        49    .11
  25 027 Worcester                Ma        21    .09        36    .08
  32 510 Carson City city         Nv        21    .09        39    .09
  53 063 Spokane                  Wa        21    .09        38    .08
  06 039 Madera                   Ca        21    .09        54    .12
  36 103 Suffolk                  NY        21    .09        39    .09
  34 023 Middlesex                NJ        20    .08        50    .11
  34 025 Monmouth                 NJ        20    .08        39    .09
  36 055 Monroe                   NY        20    .08        32    .07
  53 061 Snohomish                Wa        20    .08        40    .09
  36 119 Westchester              NY        20    .08        33    .07
  25 021 Norfolk                  Ma        20    .08        40    .09
  40 109 Oklahoma                 Ok        20    .08        30    .07
  15 009 Maui                     Hi        19    .08        31    .07
  13 089 De Kalb                  Ga        19    .08        30    .07
  08 041 El Paso                  Co        19    .08        29    .06
  34 027 Morris                   NJ        19    .08        43    .10
  41 005 Clackamas                Or        19    .08        30    .07
  26 161 Washtenaw                Mi        18    .07        32    .07
  51 013 Arlington                Va        18    .07        25    .06
  41 003 Benton                   Or        18    .07        31    .07
  36 047 Kings                    NY        18    .07        22    .05
  39 035 Cuyahoga                 Oh        18    .07        37    .08
  48 085 Collin                   Tx        18    .07        48    .11
  06 115 Yuba                     Ca        17    .07        28    .06
  42 045 Delaware                 Pa        17    .07        41    .09
  34 013 Essex                    NJ        17    .07        34    .08
  11 001 Wash.,D.C.               DC        17    .07        20    .04
  13 121 Fulton                   Ga        16    .07        26    .06
  41 029 Jackson                  Or        16    .07        27    .06
  36 005 Bronx                    NY        16    .07        30    .07
  39 049 Franklin                 Oh        16    .07        27    .06
  41 047 Marion                   Or        16    .07        29    .06
  20 091 Johnson                  Ks        15    .06        34    .08
  37 051 Cumberland               NC        15    .06        36    .08
  18 097 Marion                   In        15    .06        28    .06
  31 055 Douglas                  Ne        15    .06        34    .08
  34 035 Somerset                 NJ        15    .06        27    .06
  06 103 Tehama                   Ca        14    .06        23    .05
  12 103 Pinellas                 Fl        14    .06        29    .06
  09 009 New Haven                Ct        14    .06        25    .06
  55 079 Milwaukee                Wi        14    .06        22    .05
  16 001 Ada                      Id        14    .06        23    .05
  06 093 Siskiyou                 Ca        14    .06        22    .05
  12 057 Hillsborough             Fl        14    .06        34    .08
  40 143 Tulsa                    Ok        14    .06        33    .07
  12 095 Orange                   Fl        14    .06        24    .05
  48 245 Jefferson                Tx        13    .05        25    .06
  24 005 Baltimore                Md        13    .05        17    .04
  25 009 Essex                    Ma        13    .05        28    .06
  53 067 Thurston                 Wa        13    .05        24    .05
  34 017 Hudson                   NJ        13    .05        18    .04
  27 123 Ramsey                   Mn        12    .05        18    .04
  09 011 New London               Ct        12    .05        26    .06
  06 005 Amador                   Ca        12    .05        26    .06
  42 029 Chester                  Pa        12    .05        22    .05
  06 101 Sutter                   Ca        12    .05        23    .05
  26 065 Ingham                   Mi        12    .05        20    .04
  08 001 Adams                    Co        12    .05        27    .06
  13 067 Cobb                     Ga        12    .05        36    .08
  39 061 Hamilton                 Oh        12    .05        29    .06
  53 011 Clark                    Wa        11    .05        23    .05
  06 031 Kings                    Ca        11    .05        28    .06
  25 023 Plymouth                 Ma        11    .05        15    .03
  15 001 Hawaii                   Hi        11    .05        21    .05
  53 005 Benton                   Wa        11    .05        31    .07
  22 051 Jefferson                La        11    .05        26    .06
  34 039 Union                    NJ        11    .05        17    .04
  26 099 Macomb                   Mi        11    .05        17    .04
  55 025 Dane                     Wi        10    .04        14    .03
