33 001   Belknap Total Migration  NH      1462             2681
  12 127 Volusia                  Fl        12    .15        21    .14
  09 007 Middlesex                Ct        11    .13        22    .15
  12 071 Lee                      Fl        11    .13        17    .11
  42 101 Philadelphia             Pa        11    .13        21    .14
  44 005 Newport                  RI        11    .13        19    .13
  17 031 Cook                     Il        11    .13        16    .11
  12 111 St. Lucie                Fl        11    .13        14    .09
  34 025 Monmouth                 NJ        11    .13        28    .19
  12 025 Dade                     Fl        11    .13        25    .17
  12 057 Hillsborough             Fl        11    .13        22    .15
  24 031 Montgomery               Md        11    .13        21    .14
  44 009 Washington               RI        10    .12        26    .18
  36 119 Westchester              NY        10    .12        22    .15
  42 017 Bucks                    Pa        10    .12        18    .12
   Region 1:   Northeast                   336   4.11       644   4.35
   Region 2:   Midwest                     197   2.41       405   2.73
   Region 3:   South                       429   5.25       895   6.04
   Region 4:   West                        211   2.58       406   2.74
      33 015   County Non-Migrants       90693           203025
33 017   Strafford Total Migratio NH      2967             5251
  33 015 Rockingham               NH       827  27.87      1418  27.00
  23 031 York                     Me       429  14.46       827  15.75
  33 011 Hillsborough             NH       144   4.85       215   4.09
  33 003 Carroll                  NH       109   3.67       221   4.21
  25 009 Essex                    Ma       102   3.44       189   3.60
  25 017 Middlesex                Ma       101   3.40       162   3.09
  33 013 Merrimack                NH        73   2.46       139   2.65
  33 001 Belknap                  NH        59   1.99       114   2.17
  23 005 Cumberland               Me        50   1.69        89   1.69
  33 009 Grafton                  NH        35   1.18        60   1.14
  57 001 Foreign / Overseas       FR        34   1.15        50    .95
  57 005 APO / FPO Zip Code       FR        33   1.11        75   1.43
  25 025 Suffolk                  Ma        31   1.04        50    .95
  25 027 Worcester                Ma        30   1.01        54   1.03
  25 021 Norfolk                  Ma        22    .74        27    .51
  33 005 Cheshire                 NH        22    .74        28    .53
  23 019 Penobscot                Me        20    .67        33    .63
  33 007 Coos                     NH        19    .64        23    .44
  25 023 Plymouth                 Ma        18    .61        40    .76
  44 007 Providence               RI        17    .57        25    .48
  06 073 San Diego                Ca        16    .54        27    .51
  09 003 Hartford                 Ct        16    .54        23    .44
  09 009 New Haven                Ct        15    .51        21    .40
  25 005 Bristol                  Ma        15    .51        22    .42
  09 001 Fairfield                Ct        14    .47        20    .38
  33 019 Sullivan                 NH        13    .44        17    .32
  09 011 New London               Ct        12    .40        15    .29
  25 001 Barnstable               Ma        11    .37        20    .38
  23 011 Kennebec                 Me        11    .37        15    .29
   Region 1:   Northeast                   229   7.72       417   7.94
   Region 2:   Midwest                      89   3.00       158   3.01
   Region 3:   South                       253   8.53       473   9.01
   Region 4:   West                         98   3.30       184   3.50
      33 017   County Non-Migrants       35297            76677
33 019   Sullivan Total Migration NH       816             1509
  50 027 Windsor                  Vt        97  11.89       195  12.92
  33 009 Grafton                  NH        97  11.89       188  12.46
  33 013 Merrimack                NH        59   7.23       111   7.36
  33 005 Cheshire                 NH        54   6.62        96   6.36
  33 011 Hillsborough             NH        32   3.92        60   3.98
  50 025 Windham                  Vt        28   3.43        56   3.71
  25 017 Middlesex                Ma        24   2.94        48   3.18
  33 015 Rockingham               NH        21   2.57        38   2.52
  25 009 Essex                    Ma        15   1.84        18   1.19
  09 001 Fairfield                Ct        14   1.72        25   1.66
  09 009 New Haven                Ct        11   1.35        14    .93
  57 005 APO / FPO Zip Code       FR        10   1.23        19   1.26
  09 003 Hartford                 Ct        10   1.23        16   1.06
   Same State                               21   2.57        41   2.72
   Region 1:   Northeast                   178  21.81       332  22.00
   Region 2:   Midwest                      13   1.59        21   1.39
   Region 3:   South                        93  11.40       170  11.27
   Region 4:   West                         39   4.78        61   4.04
      33 019   County Non-Migrants       14042            30907
