12 001   Alachua Total Migration  Fl      6194            10626
  04 003 Cochise                  Az        11    .11        19    .10
  48 167 Galveston                Tx        11    .11        24    .13
  25 025 Suffolk                  Ma        11    .11        13    .07
  36 071 Orange                   NY        11    .11        29    .15
  13 215 Muscogee                 Ga        11    .11        23    .12
  42 045 Delaware                 Pa        11    .11        20    .11
  12 093 Okeechobee               Fl        11    .11        28    .15
  16 001 Ada                      Id        10    .10        19    .10
  22 051 Jefferson                La        10    .10        14    .07
  25 005 Bristol                  Ma        10    .10        23    .12
  06 065 Riverside                Ca        10    .10        16    .08
  25 001 Barnstable               Ma        10    .10        20    .11
  34 009 Cape May                 NJ        10    .10        14    .07
  26 099 Macomb                   Mi        10    .10        18    .10
  13 153 Houston                  Ga        10    .10        28    .15
  20 173 Sedgwick                 Ks        10    .10        23    .12
  21 067 Fayette                  Ky        10    .10        13    .07
  42 129 Westmoreland             Pa        10    .10        18    .10
  53 035 Kitsap                   Wa        10    .10        24    .13
  40 143 Tulsa                    Ok        10    .10        22    .12
  53 063 Spokane                  Wa        10    .10        18    .10
  39 119 Muskingum                Oh        10    .10        14    .07
   Same State                              103   1.02       206   1.09
   Region 1:   Northeast                   490   4.87       868   4.59
   Region 2:   Midwest                     696   6.92      1389   7.34
   Region 3:   South                      1282  12.75      2587  13.67
   Region 4:   West                        309   3.07       675   3.57
      12 009   County Non-Migrants      151647           320574
12 011   Broward Total Migration  Fl     31102            55325
  12 099 Palm Beach               Fl      4629  14.88      7942  14.36
  12 025 Dade                     Fl      4363  14.03      7641  13.81
  12 095 Orange                   Fl       570   1.83       999   1.81
  12 057 Hillsborough             Fl       438   1.41       739   1.34
  12 009 Brevard                  Fl       364   1.17       683   1.23
  12 103 Pinellas                 Fl       353   1.13       615   1.11
  12 111 St. Lucie                Fl       333   1.07       695   1.26
  17 031 Cook                     Il       297    .95       479    .87
  12 031 Duval                    Fl       279    .90       533    .96
  12 001 Alachua                  Fl       274    .88       394    .71
